Plot_seq;Var;Seed_ID;Row;Range;Treatment;Row_in_Field;Rep;Category;Trial;Year;Full_rank;Experimental_Unit
52_Inv22;Alessio;10;5;7;Treated;44;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
53_INNOV_22;Runal;85;6;3;Opt;7;1;Site specific;Innovar;2022;TRUE;Innovar
53_Inv22;Wiwa;22;5;6;Treated;44;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
54_INNOV_22;LG Sundance;79;6;4;Opt;7;1;Maritime North;Innovar;2022;TRUE;Innovar
54_Inv22;Cellule;12;5;5;Treated;44;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
55_INNOV_22;Altigo;64;6;5;Opt;7;1;Control;Innovar;2022;TRUE;Innovar
55_Inv22;CH-Nara;14;5;4;Treated;44;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
56_INNOV_22;Simano;88;6;6;Opt;7;1;Site specific;Innovar;2022;TRUE;Innovar
56_Inv22;Mv Elite CCP ;18;5;3;Treated;44;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
57_INNOV_22;CH-Camedo;68;6;7;Opt;7;1;Site specific;Innovar;2022;TRUE;Innovar
57_Inv22;Sahara;20;5;2;Treated;44;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
58_INNOV_22;Skagen;89;6;8;Opt;7;1;Control;Innovar;2022;TRUE;Innovar
58_Inv22;Nara;Tp Nara;6;2;Treated;45;rep3;Fill;Fill;2022;TRUE;Invite5.3Conv
59_INNOV_22;Baretta;65;6;9;Opt;7;1;Site specific;Innovar;2022;TRUE;Innovar
59_Inv22;Ehogold;16;6;3;Treated;45;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
6_INNOV_22;GK Szilard;74;1;5;Min;1;1;Control;Innovar;2022;TRUE;Innovar
6_Inv22;Bernstein;26;1;5;Treated;40;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
60_INNOV_22;Evolution;73;6;10;Opt;7;1;Maritime North;Innovar;2022;TRUE;Innovar
60_Inv22;Wiwa;22;6;4;Treated;45;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
61_INNOV_22;RGT Reform;84;7;10;Ful;9;1;Maritime North;Innovar;2022;TRUE;Innovar
61_Inv22;Nara;Tp Nara;6;5;Treated;45;rep2;Fill;Fill;2022;TRUE;Invite5.3Conv
62_INNOV_22;CH Nara;67;7;9;Ful;9;1;Maritime North;Innovar;2022;TRUE;Innovar
62_Inv22;Sahara;20;6;6;Treated;45;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
63_INNOV_22;Altigo;64;7;8;Ful;9;1;Control;Innovar;2022;TRUE;Innovar
63_Inv22;Nara;Tp Nara;6;7;Treated;45;rep2;Fill;Fill;2022;TRUE;Invite5.3Conv
64_INNOV_22;Montalbano;81;7;7;Ful;9;1;Maritime North;Innovar;2022;TRUE;Innovar
64_Inv22;Wiwa;22;6;8;Treated;45;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
65_INNOV_22;Grafton;75;7;6;Ful;9;1;Maritime North;Innovar;2022;TRUE;Innovar
65_Inv22;Mv Elite CCP ;18;6;9;Treated;45;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
66_INNOV_22;Titlis;91;7;5;Ful;9;1;Site specific;Innovar;2022;TRUE;Innovar
66_Inv22;Cellule;12;6;10;Treated;45;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
67_INNOV_22;Skyfall;90;7;4;Ful;9;1;Control;Innovar;2022;TRUE;Innovar
67_Inv22;CH-Nara;14;7;10;Treated;46;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
68_INNOV_22;LG Sundance;79;7;3;Ful;9;1;Maritime North;Innovar;2022;TRUE;Innovar
68_Inv22;Sahara;20;7;9;Treated;46;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
69_INNOV_22;Evolution;73;7;2;Ful;9;1;Maritime North;Innovar;2022;TRUE;Innovar
69_Inv22;Alessio;10;7;8;Treated;46;rep1;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
7_INNOV_22;Runal;85;1;4;Min;1;1;Site specific;Innovar;2022;TRUE;Innovar
7_Inv22;Bologna;27;1;4;Treated;40;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
70_INNOV_22;Skagen;89;7;1;Ful;9;1;Control;Innovar;2022;TRUE;Innovar
70_Inv22;Mv Elite CCP ;18;7;7;Treated;46;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
71_INNOV_22;Cosmic;70;8;1;Ful;10;1;Control;Innovar;2022;TRUE;Innovar
71_Inv22;Ehogold;16;7;6;Treated;46;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
72_INNOV_22;KWS Trinity;77;8;2;Ful;10;1;Maritime North;Innovar;2022;TRUE;Innovar
72_Inv22;CH-Nara;14;7;5;Treated;46;rep2;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
73_INNOV_22;Costello;71;8;3;Ful;10;1;Control;Innovar;2022;TRUE;Innovar
73_Inv22;Nara;Tp Nara;7;4;Treated;46;rep3;Fill;Fill;2022;TRUE;Invite5.3Conv
74_INNOV_22;CH-Claro;69;8;4;Ful;10;1;Site specific;Innovar;2022;TRUE;Innovar
74_Inv22;Alessio;10;7;3;Treated;46;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
75_INNOV_22;Shabras;87;8;5;Ful;10;1;Maritime North;Innovar;2022;TRUE;Innovar
75_Inv22;Cellule;12;7;2;Treated;46;rep3;Fill;Invite5.3Conv;2022;TRUE;Invite5.3Conv
76_INNOV_22;Nogal;93;8;6;Ful;10;1;Control;Innovar;2022;TRUE;Innovar
77_INNOV_22;CH-Camedo;68;8;7;Ful;10;1;Site specific;Innovar;2022;TRUE;Innovar
78_INNOV_22;Molinera;80;8;8;Ful;10;1;Site specific;Innovar;2022;TRUE;Innovar
79_INNOV_22;LG Skyscraper;78;8;9;Ful;10;1;Maritime North;Innovar;2022;TRUE;Innovar
8_INNOV_22;Cosmic;70;1;3;Min;1;1;Control;Innovar;2022;TRUE;Innovar
8_Inv22;Altigo;24;1;3;Treated;40;rep2;Fill;Invite6.1;2022;TRUE;Invite6.1
80_INNOV_22;Bologna;66;8;10;Ful;10;1;Control;Innovar;2022;TRUE;Innovar
81_INNOV_22;Cougar;72;9;10;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
82_INNOV_22;KWS Extase;76;9;9;Ful;11;1;Maritime North;Innovar;2022;TRUE;Innovar
83_INNOV_22;Sahara;86;9;8;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
84_INNOV_22;Simano;88;9;7;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
85_INNOV_22;GK Szilard;74;9;6;Ful;11;1;Control;Innovar;2022;TRUE;Innovar
86_INNOV_22;Montalto;82;9;5;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
87_INNOV_22;Runal;85;9;4;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
88_INNOV_22;Baretta;65;9;3;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
89_INNOV_22;Poncione;83;9;2;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
9_INNOV_22;Evolution;73;1;2;Min;1;1;Maritime North;Innovar;2022;TRUE;Innovar
9_Inv22;Julie;32;1;2;Treated;40;rep3;Fill;Invite6.1;2022;TRUE;Invite6.1
90_INNOV_22;Wiwa;92;9;1;Ful;11;1;Site specific;Innovar;2022;TRUE;Innovar
91_INNOV_22;KWS Extase;76;10;1;Min;13;2;Maritime North;Innovar;2022;TRUE;Innovar
92_INNOV_22;CH-Camedo;68;10;2;Min;13;2;Site specific;Innovar;2022;TRUE;Innovar
93_INNOV_22;Shabras;87;10;3;Min;13;2;Maritime North;Innovar;2022;TRUE;Innovar
94_INNOV_22;Costello;71;10;4;Min;13;2;Control;Innovar;2022;TRUE;Innovar
95_INNOV_22;CH Nara;67;10;5;Min;13;2;Maritime North;Innovar;2022;TRUE;Innovar
96_INNOV_22;Titlis;91;10;6;Min;13;2;Site specific;Innovar;2022;TRUE;Innovar
97_INNOV_22;RGT Reform;84;10;7;Min;13;2;Maritime North;Innovar;2022;TRUE;Innovar
98_INNOV_22;Bologna;66;10;8;Min;13;2;Control;Innovar;2022;TRUE;Innovar
99_INNOV_22;Molinera;80;10;9;Min;13;2;Site specific;Innovar;2022;TRUE;Innovar
Fill_001;Fill;Fill;-1;1;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_002;Fill;Fill;-1;2;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_003;Fill;Fill;-1;3;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_004;Fill;Fill;-1;4;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_005;Fill;Fill;-1;5;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_006;Fill;Fill;-1;6;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_007;Fill;Fill;-1;7;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_008;Fill;Fill;-1;8;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_009;Fill;Fill;-1;9;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_010;Fill;Fill;-1;10;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_011;Fill;Fill;-1;0;Fill;-1;0;Fill;Fill;2022;TRUE;Innovar
Fill_012;Fill;Fill;-1;-1;Fill;-1;0;Fill;Fill;2022;FALSE;Innovar
Fill_013;Fill;Fill;0;-1;Fill;0;0;Fill;Fill;2022;FALSE;Innovar
Fill_014;Fill;Fill;0;0;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_015;Fill;Fill;0;10;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_016;Fill;Fill;0;9;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_017;Fill;Fill;0;8;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_018;Fill;Fill;0;7;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_019;Fill;Fill;0;6;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_020;Fill;Fill;0;5;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_021;Fill;Fill;0;4;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_022;Fill;Fill;0;3;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_023;Fill;Fill;0;2;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_024;Fill;Fill;0;1;Fill;0;0;Fill;Fill;2022;TRUE;Innovar
Fill_025;Fill;Fill;1;0;Fill;1;0;Fill;Fill;2022;TRUE;Innovar
Fill_026;Fill;Fill;1;-1;Fill;1;0;Fill;Fill;2022;FALSE;Innovar
Fill_027;Fill;Fill;2;-1;Fill;2;0;Fill;Fill;2022;FALSE;Innovar
Fill_028;Fill;Fill;2;0;Fill;2;0;Fill;Fill;2022;TRUE;Innovar
Fill_029;Fill;Fill;3;0;Fill;3;0;Fill;Fill;2022;TRUE;Innovar
Fill_030;Fill;Fill;3;-1;Fill;3;0;Fill;Fill;2022;FALSE;Innovar
Fill_031;Fill;Fill;4;-1;Fill;4;0;Fill;Fill;2022;FALSE;Innovar
Fill_032;Fill;Fill;4;0;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_033;Fill;Fill;4;10;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_034;Fill;Fill;4;9;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_035;Fill;Fill;4;8;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_036;Fill;Fill;4;7;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_037;Fill;Fill;4;6;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_038;Fill;Fill;4;5;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_039;Fill;Fill;4;4;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_040;Fill;Fill;4;3;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_041;Fill;Fill;4;2;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_042;Fill;Fill;4;1;Fill;4;0;Fill;Fill;2022;TRUE;Innovar
Fill_043;Fill;Fill;5;0;Fill;5;0;Fill;Fill;2022;TRUE;Innovar
Fill_044;Fill;Fill;5;-1;Fill;5;0;Fill;Fill;2022;FALSE;Innovar
Fill_045;Fill;Fill;6;-1;Fill;6;0;Fill;Fill;2022;FALSE;Innovar
Fill_046;Fill;Fill;6;0;Fill;6;0;Fill;Fill;2022;TRUE;Innovar
Fill_047;Fill;Fill;7;0;Fill;7;0;Fill;Fill;2022;TRUE;Innovar
Fill_048;Fill;Fill;7;-1;Fill;7;0;Fill;Fill;2022;FALSE;Innovar
Fill_049;Fill;Fill;8;-1;Fill;8;0;Fill;Fill;2022;FALSE;Innovar
Fill_050;Fill;Fill;8;0;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_051;Fill;Fill;8;10;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_052;Fill;Fill;8;9;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_053;Fill;Fill;8;8;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_054;Fill;Fill;8;7;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_055;Fill;Fill;8;6;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_056;Fill;Fill;8;5;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_057;Fill;Fill;8;4;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_058;Fill;Fill;8;3;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_059;Fill;Fill;8;2;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_060;Fill;Fill;8;1;Fill;8;0;Fill;Fill;2022;TRUE;Innovar
Fill_061;Fill;Fill;9;0;Fill;9;0;Fill;Fill;2022;TRUE;Innovar
Fill_062;Fill;Fill;9;-1;Fill;9;0;Fill;Fill;2022;FALSE;Innovar
Fill_063;Fill;Fill;10;-1;Fill;10;0;Fill;Fill;2022;FALSE;Innovar
Fill_064;Fill;Fill;10;0;Fill;10;0;Fill;Fill;2022;TRUE;Innovar
Fill_065;Fill;Fill;11;0;Fill;11;0;Fill;Fill;2022;TRUE;Innovar
Fill_066;Fill;Fill;11;-1;Fill;11;0;Fill;Fill;2022;FALSE;Innovar
Fill_067;Fill;Fill;12;-1;Fill;12;0;Fill;Fill;2022;FALSE;Innovar
Fill_068;Fill;Fill;12;0;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_069;Fill;Fill;12;10;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_070;Fill;Fill;12;9;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_071;Fill;Fill;12;8;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_072;Fill;Fill;12;7;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_073;Fill;Fill;12;6;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_074;Fill;Fill;12;5;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_075;Fill;Fill;12;4;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_076;Fill;Fill;12;3;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_077;Fill;Fill;12;2;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_078;Fill;Fill;12;1;Fill;12;0;Fill;Fill;2022;TRUE;Innovar
Fill_079;Fill;Fill;13;0;Fill;13;0;Fill;Fill;2022;TRUE;Innovar
Fill_080;Fill;Fill;13;-1;Fill;13;0;Fill;Fill;2022;FALSE;Innovar
Fill_081;Fill;Fill;14;-1;Fill;14;0;Fill;Fill;2022;FALSE;Innovar
Fill_082;Fill;Fill;14;0;Fill;14;0;Fill;Fill;2022;TRUE;Innovar
Fill_083;Fill;Fill;15;0;Fill;15;0;Fill;Fill;2022;TRUE;Innovar
Fill_084;Fill;Fill;15;-1;Fill;15;0;Fill;Fill;2022;FALSE;Innovar
Fill_085;Fill;Fill;16;-1;Fill;16;0;Fill;Fill;2022;FALSE;Innovar
Fill_086;Fill;Fill;16;0;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_087;Fill;Fill;16;10;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_088;Fill;Fill;16;9;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_089;Fill;Fill;16;8;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_090;Fill;Fill;16;7;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_091;Fill;Fill;16;6;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_092;Fill;Fill;16;5;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_093;Fill;Fill;16;4;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_094;Fill;Fill;16;3;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_095;Fill;Fill;16;2;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_096;Fill;Fill;16;1;Fill;16;0;Fill;Fill;2022;TRUE;Innovar
Fill_097;Fill;Fill;17;0;Fill;17;0;Fill;Fill;2022;TRUE;Innovar
Fill_098;Fill;Fill;17;-1;Fill;17;0;Fill;Fill;2022;FALSE;Innovar
Fill_099;Fill;Fill;18;-1;Fill;18;0;Fill;Fill;2022;FALSE;Innovar
Fill_100;Fill;Fill;18;0;Fill;18;0;Fill;Fill;2022;TRUE;Innovar
Fill_101;Fill;Fill;19;0;Fill;19;0;Fill;Fill;2022;TRUE;Innovar
Fill_102;Fill;Fill;19;-1;Fill;19;0;Fill;Fill;2022;FALSE;Innovar
Fill_103;Fill;Fill;20;-1;Fill;20;0;Fill;Fill;2022;FALSE;Innovar
Fill_104;Fill;Fill;20;0;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_105;Fill;Fill;20;10;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_106;Fill;Fill;20;9;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_107;Fill;Fill;20;8;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_108;Fill;Fill;20;7;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_109;Fill;Fill;20;6;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_110;Fill;Fill;20;5;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_111;Fill;Fill;20;4;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_112;Fill;Fill;20;3;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_113;Fill;Fill;20;2;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_114;Fill;Fill;20;1;Fill;20;0;Fill;Fill;2022;TRUE;Innovar
Fill_115;Fill;Fill;21;0;Fill;21;0;Fill;Fill;2022;TRUE;Innovar
Fill_116;Fill;Fill;21;-1;Fill;21;0;Fill;Fill;2022;FALSE;Innovar
Fill_117;Fill;Fill;22;-1;Fill;22;0;Fill;Fill;2022;FALSE;Innovar
Fill_118;Fill;Fill;22;0;Fill;22;0;Fill;Fill;2022;TRUE;Innovar
Fill_119;Fill;Fill;23;0;Fill;23;0;Fill;Fill;2022;TRUE;Innovar
Fill_120;Fill;Fill;23;-1;Fill;23;0;Fill;Fill;2022;FALSE;Innovar
Fill_121;Fill;Fill;24;-1;Fill;24;0;Fill;Fill;2022;FALSE;Innovar
Fill_122;Fill;Fill;24;0;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_123;Fill;Fill;24;10;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_124;Fill;Fill;24;9;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_125;Fill;Fill;24;8;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_126;Fill;Fill;24;7;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_127;Fill;Fill;24;6;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_128;Fill;Fill;24;5;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_129;Fill;Fill;24;4;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_130;Fill;Fill;24;3;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_131;Fill;Fill;24;2;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_132;Fill;Fill;24;1;Fill;24;0;Fill;Fill;2022;TRUE;Innovar
Fill_133;Fill;Fill;25;0;Fill;25;0;Fill;Fill;2022;TRUE;Innovar
Fill_134;Fill;Fill;25;-1;Fill;25;0;Fill;Fill;2022;FALSE;Innovar
Fill_135;Fill;Fill;26;-1;Fill;26;0;Fill;Fill;2022;FALSE;Innovar
Fill_136;Fill;Fill;26;0;Fill;26;0;Fill;Fill;2022;TRUE;Innovar
Fill_137;Fill;Fill;27;0;Fill;27;0;Fill;Fill;2022;TRUE;Innovar
Fill_138;Fill;Fill;27;-1;Fill;27;0;Fill;Fill;2022;FALSE;Innovar
Fill_139;Fill;Fill;28;-1;Fill;28;0;Fill;Fill;2022;FALSE;Innovar
Fill_140;Fill;Fill;28;0;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_141;Fill;Fill;28;10;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_142;Fill;Fill;28;9;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_143;Fill;Fill;28;8;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_144;Fill;Fill;28;7;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_145;Fill;Fill;28;6;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_146;Fill;Fill;28;5;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_147;Fill;Fill;28;4;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_148;Fill;Fill;28;3;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_149;Fill;Fill;28;2;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_150;Fill;Fill;28;1;Fill;28;0;Fill;Fill;2022;TRUE;Innovar
Fill_151;Fill;Fill;29;0;Fill;29;0;Fill;Fill;2022;TRUE;Innovar
Fill_152;Fill;Fill;29;-1;Fill;29;0;Fill;Fill;2022;FALSE;Innovar
Fill_153;Fill;Fill;30;-1;Fill;30;0;Fill;Fill;2022;FALSE;Innovar
Fill_154;Fill;Fill;30;0;Fill;30;0;Fill;Fill;2022;TRUE;Innovar
Fill_155;Fill;Fill;31;0;Fill;31;0;Fill;Fill;2022;TRUE;Innovar
Fill_156;Fill;Fill;31;-1;Fill;31;0;Fill;Fill;2022;FALSE;Innovar
Fill_157;Fill;Fill;32;-1;Fill;32;0;Fill;Fill;2022;FALSE;Innovar
Fill_158;Fill;Fill;32;0;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_159;Fill;Fill;32;10;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_160;Fill;Fill;32;9;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_161;Fill;Fill;32;8;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_162;Fill;Fill;32;7;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_163;Fill;Fill;32;6;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_164;Fill;Fill;32;5;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_165;Fill;Fill;32;4;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_166;Fill;Fill;32;3;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_167;Fill;Fill;32;2;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_168;Fill;Fill;32;1;Fill;32;0;Fill;Fill;2022;TRUE;Innovar
Fill_169;Fill;Fill;33;0;Fill;33;0;Fill;Fill;2022;TRUE;Innovar
Fill_170;Fill;Fill;33;-1;Fill;33;0;Fill;Fill;2022;FALSE;Innovar
Fill_171;Fill;Fill;34;-1;Fill;34;0;Fill;Fill;2022;FALSE;Innovar
Fill_172;Fill;Fill;34;0;Fill;34;0;Fill;Fill;2022;TRUE;Innovar
Fill_173;Fill;Fill;35;0;Fill;35;0;Fill;Fill;2022;TRUE;Innovar
Fill_174;Fill;Fill;35;-1;Fill;35;0;Fill;Fill;2022;FALSE;Innovar
Fill_175;Fill;Fill;36;-1;Fill;36;0;Fill;Fill;2022;FALSE;Innovar
Fill_176;Fill;Fill;36;0;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_177;Fill;Fill;36;10;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_178;Fill;Fill;36;9;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_179;Fill;Fill;36;8;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_180;Fill;Fill;36;7;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_181;Fill;Fill;36;6;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_182;Fill;Fill;36;5;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_183;Fill;Fill;36;4;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_184;Fill;Fill;36;3;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_185;Fill;Fill;36;2;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_186;Fill;Fill;36;1;Fill;36;0;Fill;Fill;2022;TRUE;Innovar
Fill_187;Fill;Fill;37;1;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_188;Fill;Fill;37;2;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_189;Fill;Fill;37;3;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_190;Fill;Fill;37;4;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_191;Fill;Fill;37;5;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_192;Fill;Fill;37;6;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_193;Fill;Fill;37;7;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_194;Fill;Fill;37;8;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_195;Fill;Fill;37;9;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_196;Fill;Fill;37;10;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_197;Fill;Fill;37;0;Fill;37;0;Fill;Fill;2022;TRUE;Innovar
Fill_198;Fill;Fill;37;-1;Fill;37;0;Fill;Fill;2022;FALSE;Innovar
Fill_199;Fill;Fill;42;1;Fill;44;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_200;Fill;Fill;42;0;Fill;44;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_201;Fill;Fill;42;-1;Fill;44;0;Fill;Fill;2022;FALSE;Invite5.3Conv
Fill_202;Fill;Fill;43;-1;Fill;45;0;Fill;Fill;2022;FALSE;Invite5.3Conv
Fill_203;Fill;Fill;43;0;Fill;45;0;Fill;Fill;2022;TRUE;Invite5.3Conv
